"TIME","GEO","CURRENCY","NACE_R2","Value","Flag and Footnotes"
"2008","BE","Million euro","Agriculture, forestry and fishing","358.4",""
"2008","BE1","Million euro","Agriculture, forestry and fishing","1.8",""
"2008","BE10","Million euro","Agriculture, forestry and fishing","1.8",""
"2008","BE2","Million euro","Agriculture, forestry and fishing","289.8",""
"2008","BE21","Million euro","Agriculture, forestry and fishing","82.2",""
"2008","BE22","Million euro","Agriculture, forestry and fishing","40.3",""
"2008","BE23","Million euro","Agriculture, forestry and fishing","68.4",""
"2008","BE24","Million euro","Agriculture, forestry and fishing","26.8",""
"2008","BE25","Million euro","Agriculture, forestry and fishing","72.1",""
"2008","BE3","Million euro","Agriculture, forestry and fishing","66.8",""
"2008","BE31","Million euro","Agriculture, forestry and fishing","5.2",""
"2008","BE32","Million euro","Agriculture, forestry and fishing","15.6",""
"2008","BE33","Million euro","Agriculture, forestry and fishing","17.4",""
"2008","BE34","Million euro","Agriculture, forestry and fishing","12.6",""
"2008","BE35","Million euro","Agriculture, forestry and fishing","16",""
"2008","BEZ","Million euro","Agriculture, forestry and fishing",":",""
"2008","BEZZ","Million euro","Agriculture, forestry and fishing",":",""
"2008","BG","Million euro","Agriculture, forestry and fishing","227.19",""
"2008","BG3","Million euro","Agriculture, forestry and fishing","165.39",""
"2008","BG31","Million euro","Agriculture, forestry and fishing","30.83",""
"2008","BG32","Million euro","Agriculture, forestry and fishing","45.15",""
"2008","BG33","Million euro","Agriculture, forestry and fishing","48.65",""
"2008","BG34","Million euro","Agriculture, forestry and fishing","40.76",""
"2008","BG4","Million euro","Agriculture, forestry and fishing","61.8",""
"2008","BG41","Million euro","Agriculture, forestry and fishing","23.14",""
"2008","BG42","Million euro","Agriculture, forestry and fishing","38.66",""
"2008","CZ","Million euro","Agriculture, forestry and fishing","1,521.65",""
"2008","CZ0","Million euro","Agriculture, forestry and fishing","1,521.65",""
"2008","CZ01","Million euro","Agriculture, forestry and fishing","27.74",""
"2008","CZ02","Million euro","Agriculture, forestry and fishing","210.01",""
"2008","CZ03","Million euro","Agriculture, forestry and fishing","290.99",""
"2008","CZ04","Million euro","Agriculture, forestry and fishing","98.97",""
"2008","CZ05","Million euro","Agriculture, forestry and fishing","256.71",""
"2008","CZ06","Million euro","Agriculture, forestry and fishing","348.47",""
"2008","CZ07","Million euro","Agriculture, forestry and fishing","186.96",""
"2008","CZ08","Million euro","Agriculture, forestry and fishing","101.78",""
"2008","DK","Million euro","Agriculture, forestry and fishing","1,094.82",""
"2008","DK0","Million euro","Agriculture, forestry and fishing","1,094.82",""
"2008","DK01","Million euro","Agriculture, forestry and fishing","61.16",""
"2008","DK02","Million euro","Agriculture, forestry and fishing","169.53",""
"2008","DK03","Million euro","Agriculture, forestry and fishing","354.75",""
"2008","DK04","Million euro","Agriculture, forestry and fishing","322.96",""
"2008","DK05","Million euro","Agriculture, forestry and fishing","186.43",""
"2008","DKZ","Million euro","Agriculture, forestry and fishing","0",""
"2008","DKZZ","Million euro","Agriculture, forestry and fishing","0",""
"2008","DE","Million euro","Agriculture, forestry and fishing","5,925",""
"2008","DE1","Million euro","Agriculture, forestry and fishing","430.3",""
"2008","DE11","Million euro","Agriculture, forestry and fishing","148.14",""
"2008","DE12","Million euro","Agriculture, forestry and fishing","86.78",""
"2008","DE13","Million euro","Agriculture, forestry and fishing","98.84",""
"2008","DE14","Million euro","Agriculture, forestry and fishing","96.54",""
"2008","DE2","Million euro","Agriculture, forestry and fishing","645.84",""
"2008","DE21","Million euro","Agriculture, forestry and fishing","169.85",""
"2008","DE22","Million euro","Agriculture, forestry and fishing","81.41",""
"2008","DE23","Million euro","Agriculture, forestry and fishing","66.76",""
"2008","DE24","Million euro","Agriculture, forestry and fishing","56.14",""
"2008","DE25","Million euro","Agriculture, forestry and fishing","74.23",""
"2008","DE26","Million euro","Agriculture, forestry and fishing","94.2",""
"2008","DE27","Million euro","Agriculture, forestry and fishing","103.25",""
"2008","DE3","Million euro","Agriculture, forestry and fishing","11.77",""
"2008","DE30","Million euro","Agriculture, forestry and fishing","11.77",""
"2008","DE4","Million euro","Agriculture, forestry and fishing","554.7",""
"2008","DE40","Million euro","Agriculture, forestry and fishing","554.7",""
"2008","DE5","Million euro","Agriculture, forestry and fishing","5.53",""
"2008","DE50","Million euro","Agriculture, forestry and fishing","5.53",""
"2008","DE6","Million euro","Agriculture, forestry and fishing","17.22",""
"2008","DE60","Million euro","Agriculture, forestry and fishing","17.22",""
"2008","DE7","Million euro","Agriculture, forestry and fishing","254.2",""
