"TIME","GEO","UNIT","WSTATUS","NACE_R2","Value","Flag and Footnotes"
"2008","BE","Thousand","Employed persons","Total - all NACE activities","6,990,962.5",""
"2008","BE1","Thousand","Employed persons","Total - all NACE activities","1,038,421.9",""
"2008","BE10","Thousand","Employed persons","Total - all NACE activities","1,038,421.9",""
"2008","BE2","Thousand","Employed persons","Total - all NACE activities","4,097,013.9",""
"2008","BE21","Thousand","Employed persons","Total - all NACE activities","1,199,108.6",""
"2008","BE22","Thousand","Employed persons","Total - all NACE activities","496,028.7",""
"2008","BE23","Thousand","Employed persons","Total - all NACE activities","882,813.1",""
"2008","BE24","Thousand","Employed persons","Total - all NACE activities","688,542.2",""
"2008","BE25","Thousand","Employed persons","Total - all NACE activities","830,521.3",""
"2008","BE3","Thousand","Employed persons","Total - all NACE activities","1,851,557",""
"2008","BE31","Thousand","Employed persons","Total - all NACE activities","227,057",""
"2008","BE32","Thousand","Employed persons","Total - all NACE activities","660,066.8",""
"2008","BE33","Thousand","Employed persons","Total - all NACE activities","571,417.9",""
"2008","BE34","Thousand","Employed persons","Total - all NACE activities","141,352.8",""
"2008","BE35","Thousand","Employed persons","Total - all NACE activities","251,662.5",""
"2008","BEZ","Thousand","Employed persons","Total - all NACE activities","3,969.8",""
"2008","BEZZ","Thousand","Employed persons","Total - all NACE activities","3,969.8",""
"2008","BG","Thousand","Employed persons","Total - all NACE activities","6,460,476.21",""
"2008","BG3","Thousand","Employed persons","Total - all NACE activities","3,094,775.8",""
"2008","BG31","Thousand","Employed persons","Total - all NACE activities","638,657.61",""
"2008","BG32","Thousand","Employed persons","Total - all NACE activities","721,302.64",""
"2008","BG33","Thousand","Employed persons","Total - all NACE activities","776,689.29",""
"2008","BG34","Thousand","Employed persons","Total - all NACE activities","958,126.26",""
"2008","BG4","Thousand","Employed persons","Total - all NACE activities","3,365,700.41",""
"2008","BG41","Thousand","Employed persons","Total - all NACE activities","2,135,147.29",""
"2008","BG42","Thousand","Employed persons","Total - all NACE activities","1,230,553.12",""
"2008","CZ","Thousand","Employed persons","Total - all NACE activities","9,312,912",""
"2008","CZ0","Thousand","Employed persons","Total - all NACE activities","9,312,912",""
"2008","CZ01","Thousand","Employed persons","Total - all NACE activities","1,711,043",""
"2008","CZ02","Thousand","Employed persons","Total - all NACE activities","1,019,116",""
"2008","CZ03","Thousand","Employed persons","Total - all NACE activities","1,042,647",""
"2008","CZ04","Thousand","Employed persons","Total - all NACE activities","932,698",""
"2008","CZ05","Thousand","Employed persons","Total - all NACE activities","1,243,029",""
"2008","CZ06","Thousand","Employed persons","Total - all NACE activities","1,403,909",""
"2008","CZ07","Thousand","Employed persons","Total - all NACE activities","1,012,547",""
"2008","CZ08","Thousand","Employed persons","Total - all NACE activities","947,923",""
"2008","DK","Thousand","Employed persons","Total - all NACE activities","4,214,185",""
"2008","DK0","Thousand","Employed persons","Total - all NACE activities","4,201,161",""
"2008","DK01","Thousand","Employed persons","Total - all NACE activities","1,448,124",""
"2008","DK02","Thousand","Employed persons","Total - all NACE activities","502,572",""
"2008","DK03","Thousand","Employed persons","Total - all NACE activities","884,358",""
"2008","DK04","Thousand","Employed persons","Total - all NACE activities","946,183",""
"2008","DK05","Thousand","Employed persons","Total - all NACE activities","419,924",""
"2008","DKZ","Thousand","Employed persons","Total - all NACE activities","13,024",""
"2008","DKZZ","Thousand","Employed persons","Total - all NACE activities","13,024",""
"2008","DE","Thousand","Employed persons","Total - all NACE activities","57,950,125",""
"2008","DE1","Thousand","Employed persons","Total - all NACE activities","8,151,194",""
"2008","DE11","Thousand","Employed persons","Total - all NACE activities","3,150,383",""
"2008","DE12","Thousand","Employed persons","Total - all NACE activities","2,071,470",""
"2008","DE13","Thousand","Employed persons","Total - all NACE activities","1,585,116",""
"2008","DE14","Thousand","Employed persons","Total - all NACE activities","1,344,226",""
"2008","DE2","Thousand","Employed persons","Total - all NACE activities","9,584,492",""
"2008","DE21","Thousand","Employed persons","Total - all NACE activities","3,545,492",""
"2008","DE22","Thousand","Employed persons","Total - all NACE activities","858,156",""
"2008","DE23","Thousand","Employed persons","Total - all NACE activities","804,766",""
"2008","DE24","Thousand","Employed persons","Total - all NACE activities","775,384",""
"2008","DE25","Thousand","Employed persons","Total - all NACE activities","1,333,057",""
"2008","DE26","Thousand","Employed persons","Total - all NACE activities","957,727",""
"2008","DE27","Thousand","Employed persons","Total - all NACE activities","1,309,910",""
"2008","DE3","Thousand","Employed persons","Total - all NACE activities","2,397,385",""
"2008","DE30","Thousand","Employed persons","Total - all NACE activities","2,397,385",""
"2008","DE4","Thousand","Employed persons","Total - all NACE activities","1,596,790",""
"2008","DE40","Thousand","Employed persons","Total - all NACE activities","1,596,790",""
"2008","DE5","Thousand","Employed persons","Total - all NACE activities","559,836",""
"2008","DE50","Thousand","Employed persons","Total - all NACE activities","559,836",""
"2008","DE6","Thousand","Employed persons","Total - all NACE activities","1,598,829",""
"2008","DE60","Thousand","Employed persons","Total - all NACE activities","1,598,829",""
"2008","DE7","Thousand","Employed persons","Total - all NACE activities","4,473,034",""
"2008","DE71","Thousand","Employed persons","Total - all NACE activities","2,964,766",""
"2008","DE72","Thousand","Employed persons","Total - all NACE activities","666,678",""
"2008","DE73","Thousand","Employed persons","Total - all NACE activities","841,590",""
"2008","DE8","Thousand","Employed persons","Total - all NACE activities","1,114,323",""
"2008","DE80","Thousand","Employed persons","Total - all NACE activities","1,114,323",""
"2008","DE9","Thousand","Employed persons","Total - all NACE activities","5,111,654",""
"2008","DE91","Thousand","Employed persons","Total - all NACE activities","1,060,413",""
"2008","DE92","Thousand","Employed persons","Total - all NACE activities","1,454,503",""
"2008","DE93","Thousand","Employed persons","Total - all NACE activities","944,656",""
"2008","DE94","Thousand","Employed persons","Total - all NACE activities","1,652,083",""
"2008","DEA","Thousand","Employed persons","Total - all NACE activities","12,146,277",""
"2008","DEA1","Thousand","Employed persons","Total - all NACE activities","3,661,938",""
"2008","DEA2","Thousand","Employed persons","Total - all NACE activities","3,022,211",""
"2008","DEA3","Thousand","Employed persons","Total - all NACE activities","1,622,375",""
"2008","DEA4","Thousand","Employed persons","Total - all NACE activities","1,430,249",""
"2008","DEA5","Thousand","Employed persons","Total - all NACE activities","2,409,504",""
"2008","DEB","Thousand","Employed persons","Total - all NACE activities","2,643,206",""
"2008","DEB1","Thousand","Employed persons","Total - all NACE activities","985,015",""
"2008","DEB2","Thousand","Employed persons","Total - all NACE activities","345,403",""
"2008","DEB3","Thousand","Employed persons","Total - all NACE activities","1,312,788",""
"2008","DEC","Thousand","Employed persons","Total - all NACE activities","714,173",""
"2008","DEC0","Thousand","Employed persons","Total - all NACE activities","714,173",""
"2008","DED","Thousand","Employed persons","Total - all NACE activities","2,921,147",""
"2008","DED2","Thousand","Employed persons","Total - all NACE activities","1,140,590",""
"2008","DED4","Thousand","Employed persons","Total - all NACE activities","1,069,554",""
"2008","DED5","Thousand","Employed persons","Total - all NACE activities","711,003",""
"2008","DEE","Thousand","Employed persons","Total - all NACE activities","1,539,676",""
"2008","DEE0","Thousand","Employed persons","Total - all NACE activities","1,539,676",""
"2008","DEF","Thousand","Employed persons","Total - all NACE activities","1,830,666",""
"2008","DEF0","Thousand","Employed persons","Total - all NACE activities","1,830,666",""
"2008","DEG","Thousand","Employed persons","Total - all NACE activities","1,567,443",""
"2008","DEG0","Thousand","Employed persons","Total - all NACE activities","1,567,443",""
"2008","EE","Thousand","Employed persons","Total - all NACE activities","1,263,504.9",""
"2008","EE0","Thousand","Employed persons","Total - all NACE activities","1,263,504.9",""
"2008","EE00","Thousand","Employed persons","Total - all NACE activities","1,263,504.9",""
"2008","IE","Thousand","Employed persons","Total - all NACE activities","3,926,116.26",""
"2008","IE0","Thousand","Employed persons","Total - all NACE activities","3,926,116.26",""
"2008","IE04","Thousand","Employed persons","Total - all NACE activities","644,197.8",""
"2008","IE05","Thousand","Employed persons","Total - all NACE activities","1,361,511.26",""
"2008","IE06","Thousand","Employed persons","Total - all NACE activities","1,920,407.2",""
"2008","EL","Thousand","Employed persons","Total - all NACE activities","10,228,757.11",""
"2008","EL5","Thousand","Employed persons","Total - all NACE activities","2,687,363.36",""
"2008","EL51","Thousand","Employed persons","Total - all NACE activities","520,373.12",""
"2008","EL52","Thousand","Employed persons","Total - all NACE activities","1,640,035.63",""
"2008","EL53","Thousand","Employed persons","Total - all NACE activities","224,159.34",""
"2008","EL54","Thousand","Employed persons","Total - all NACE activities","302,795.26",""
"2008","EL6","Thousand","Employed persons","Total - all NACE activities","2,476,505.34",""
"2008","EL61","Thousand","Employed persons","Total - all NACE activities","642,984.21",""
"2008","EL62","Thousand","Employed persons","Total - all NACE activities","206,267.46",""
"2008","EL63","Thousand","Employed persons","Total - all NACE activities","594,646.35",""
"2008","EL64","Thousand","Employed persons","Total - all NACE activities","490,487.55",""
"2008","EL65","Thousand","Employed persons","Total - all NACE activities","542,119.77",""
"2008","EL3","Thousand","Employed persons","Total - all NACE activities","3,945,949.97",""
"2008","EL30","Thousand","Employed persons","Total - all NACE activities","3,945,949.97",""
"2008","EL4","Thousand","Employed persons","Total - all NACE activities","1,118,938.44",""
"2008","EL41","Thousand","Employed persons","Total - all NACE activities","166,575.52",""
"2008","EL42","Thousand","Employed persons","Total - all NACE activities","330,714.15",""
"2008","EL43","Thousand","Employed persons","Total - all NACE activities","621,648.78",""
"2008","ES","Thousand","Employed persons","Total - all NACE activities","36,518,637.2",""
"2008","ES1","Thousand","Employed persons","Total - all NACE activities","3,406,039.3",""
"2008","ES11","Thousand","Employed persons","Total - all NACE activities","2,159,572.2",""
"2008","ES12","Thousand","Employed persons","Total - all NACE activities","798,875.3",""
