"ISCED97","GEO","AGE","SEX","WSTATUS","UNIT","TIME","Value","Flag and Footnotes"
"All ISCED 1997 levels","BE","Total","Total","Employed persons","Number","2011","4,432,971",""
"All ISCED 1997 levels","BE1","Total","Total","Employed persons","Number","2011","370,380",""
"All ISCED 1997 levels","BE10","Total","Total","Employed persons","Number","2011","370,380",""
"All ISCED 1997 levels","BE2","Total","Total","Employed persons","Number","2011","2,733,433",""
"All ISCED 1997 levels","BE21","Total","Total","Employed persons","Number","2011","746,734",""
"All ISCED 1997 levels","BE22","Total","Total","Employed persons","Number","2011","363,791",""
"All ISCED 1997 levels","BE23","Total","Total","Employed persons","Number","2011","639,600",""
"All ISCED 1997 levels","BE24","Total","Total","Employed persons","Number","2011","477,639",""
"All ISCED 1997 levels","BE25","Total","Total","Employed persons","Number","2011","505,669",""
"All ISCED 1997 levels","BE3","Total","Total","Employed persons","Number","2011","1,329,158",""
"All ISCED 1997 levels","BE31","Total","Total","Employed persons","Number","2011","155,861",""
"All ISCED 1997 levels","BE32","Total","Total","Employed persons","Number","2011","470,264",""
"All ISCED 1997 levels","BE33","Total","Total","Employed persons","Number","2011","403,982",""
"All ISCED 1997 levels","BE34","Total","Total","Employed persons","Number","2011","109,696",""
"All ISCED 1997 levels","BE35","Total","Total","Employed persons","Number","2011","189,355",""
"All ISCED 1997 levels","BEZ","Total","Total","Employed persons","Number","2011","0",""
"All ISCED 1997 levels","BEZZ","Total","Total","Employed persons","Number","2011","0",""
"All ISCED 1997 levels","BG","Total","Total","Employed persons","Number","2011","2,834,834",""
"All ISCED 1997 levels","BG3","Total","Total","Employed persons","Number","2011","1,339,688",""
"All ISCED 1997 levels","BG31","Total","Total","Employed persons","Number","2011","276,530",""
"All ISCED 1997 levels","BG32","Total","Total","Employed persons","Number","2011","310,731",""
"All ISCED 1997 levels","BG33","Total","Total","Employed persons","Number","2011","357,907",""
"All ISCED 1997 levels","BG34","Total","Total","Employed persons","Number","2011","394,520",""
"All ISCED 1997 levels","BG4","Total","Total","Employed persons","Number","2011","1,495,146",""
"All ISCED 1997 levels","BG41","Total","Total","Employed persons","Number","2011","948,652",""
"All ISCED 1997 levels","BG42","Total","Total","Employed persons","Number","2011","546,494",""
"All ISCED 1997 levels","BGZ","Total","Total","Employed persons","Number","2011","0",""
"All ISCED 1997 levels","BGZZ","Total","Total","Employed persons","Number","2011","0",""
"All ISCED 1997 levels","CZ","Total","Total","Employed persons","Number","2011","4,580,714",""
"All ISCED 1997 levels","CZ0","Total","Total","Employed persons","Number","2011","4,580,714",""
"All ISCED 1997 levels","CZ01","Total","Total","Employed persons","Number","2011","600,730",""
"All ISCED 1997 levels","CZ02","Total","Total","Employed persons","Number","2011","587,539",""
"All ISCED 1997 levels","CZ03","Total","Total","Employed persons","Number","2011","536,122",""
"All ISCED 1997 levels","CZ04","Total","Total","Employed persons","Number","2011","449,087",""
"All ISCED 1997 levels","CZ05","Total","Total","Employed persons","Number","2011","649,520",""
"All ISCED 1997 levels","CZ06","Total","Total","Employed persons","Number","2011","732,587",""
