"TIME","GEO","UNIT","DIRECT","NA_ITEM","Value","Flag and Footnotes"
"2008","BE","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","23,200",""
"2008","BE1","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","21,700",""
"2008","BE10","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","21,700",""
"2008","BE2","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","25,100",""
"2008","BE21","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","24,700",""
"2008","BE22","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","22,300",""
"2008","BE23","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","25,400",""
"2008","BE24","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","29,400",""
"2008","BE25","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","23,400",""
"2008","BE3","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","20,200",""
"2008","BE31","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","27,200",""
"2008","BE32","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","18,200",""
"2008","BE33","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","19,600",""
"2008","BE34","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","21,200",""
"2008","BE35","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","21,000",""
"2008","BEZ","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","BEZZ","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","BG","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","2,900",""
"2008","BG3","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","2,400",""
"2008","BG31","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","2,100",""
"2008","BG32","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","2,400",""
"2008","BG33","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","2,400",""
"2008","BG34","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","2,600",""
"2008","BG4","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","3,400",""
"2008","BG41","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","4,000",""
"2008","BG42","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","2,500",""
"2008","CZ","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","8,800",""
"2008","CZ0","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","8,800",""
"2008","CZ01","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","12,300",""
"2008","CZ02","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","9,400",""
"2008","CZ03","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","8,800",""
"2008","CZ04","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","7,600",""
"2008","CZ05","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","8,100",""
"2008","CZ06","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","8,300",""
