TIME,GEO,UNIT,Value,Flag and Footnotes
2014,BE,Percentage,:,
2014,BE,Percentage of total population aged less than 60,14.6,
2014,BE,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,BE,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,BG,Percentage,:,
2014,BG,Percentage of total population aged less than 60,12.1,
2014,BG,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,BG,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,BG3,Percentage,:,
2014,BG3,Percentage of total population aged less than 60,13,
2014,BG3,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,BG3,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,BG31,Percentage,:,
2014,BG31,Percentage of total population aged less than 60,16.7,
2014,BG31,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,BG31,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,BG32,Percentage,:,
2014,BG32,Percentage of total population aged less than 60,14.1,
2014,BG32,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,BG32,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,BG33,Percentage,:,
2014,BG33,Percentage of total population aged less than 60,13.5,
2014,BG33,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,BG33,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,BG34,Percentage,:,
2014,BG34,Percentage of total population aged less than 60,9.2,
2014,BG34,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,BG34,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,BG4,Percentage,:,
2014,BG4,Percentage of total population aged less than 60,11.2,
2014,BG4,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,BG4,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,BG41,Percentage,:,
2014,BG41,Percentage of total population aged less than 60,8.2,
2014,BG41,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,BG41,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,BG42,Percentage,:,
2014,BG42,Percentage of total population aged less than 60,15.5,
2014,BG42,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,BG42,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,CZ,Percentage,:,
2014,CZ,Percentage of total population aged less than 60,7.6,
2014,CZ,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,CZ,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,CZ01,Percentage,:,
2014,CZ01,Percentage of total population aged less than 60,5.8,
2014,CZ01,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,CZ01,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,CZ02,Percentage,:,
2014,CZ02,Percentage of total population aged less than 60,3.9,
2014,CZ02,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,CZ02,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,CZ03,Percentage,:,
2014,CZ03,Percentage of total population aged less than 60,5.8,
2014,CZ03,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,CZ03,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,CZ04,Percentage,:,
2014,CZ04,Percentage of total population aged less than 60,18.2,
2014,CZ04,Percentage of total population - upper boundary of the 95% confidence interval,:,
2014,CZ04,Percentage of total population - lower boundary of the 95% confidence interval,:,
2014,CZ05,Percentage,:,
2014,CZ05,Percentage of total population aged less than 60,6.2,
2014,CZ05,Percentage of total population - upper boundary of the 95% confidence interval,:,
